Starting data preprocessing.
Finished preprocessing. Starting training.
0 / 5220 | LOSS : 318.1895446777344
100 / 5220 | LOSS : 1435.5029296875
200 / 5220 | LOSS : 141.51797485351562
300 / 5220 | LOSS : 33.29246520996094
400 / 5220 | LOSS : 21.309688568115234
500 / 5220 | LOSS : 35.899513244628906
600 / 5220 | LOSS : 59.80000305175781
700 / 5220 | LOSS : 89.58122253417969
800 / 5220 | LOSS : 126.46737670898438
900 / 5220 | LOSS : 146.7776641845703
1000 / 5220 | LOSS : 154.07598876953125
1100 / 5220 | LOSS : 186.3841552734375
1200 / 5220 | LOSS : 224.48898315429688
1300 / 5220 | LOSS : 228.58428955078125
1400 / 5220 | LOSS : 242.36965942382812
1500 / 5220 | LOSS : 206.0130615234375
1600 / 5220 | LOSS : 200.19534301757812
1700 / 5220 | LOSS : 162.72882080078125
1800 / 5220 | LOSS : 171.45263671875
1900 / 5220 | LOSS : 171.44369506835938
2000 / 5220 | LOSS : 134.79483032226562
2100 / 5220 | LOSS : 132.00762939453125
2200 / 5220 | LOSS : 105.57136535644531
2300 / 5220 | LOSS : 92.78534698486328
2400 / 5220 | LOSS : 83.84893798828125
2500 / 5220 | LOSS : 63.62971878051758
2600 / 5220 | LOSS : 85.17745208740234
2700 / 5220 | LOSS : 101.42523193359375
2800 / 5220 | LOSS : 118.67807006835938
2900 / 5220 | LOSS : 124.10955047607422
3000 / 5220 | LOSS : 145.12686157226562
3100 / 5220 | LOSS : 141.48159790039062
3200 / 5220 | LOSS : 140.61114501953125
3300 / 5220 | LOSS : 135.5733184814453
3400 / 5220 | LOSS : 121.85641479492188
3500 / 5220 | LOSS : 93.56279754638672
3600 / 5220 | LOSS : 97.56697082519531
3700 / 5220 | LOSS : 91.5804443359375
3800 / 5220 | LOSS : 86.05735778808594
3900 / 5220 | LOSS : 94.34264373779297
4000 / 5220 | LOSS : 76.92503356933594
4100 / 5220 | LOSS : 80.45147705078125
4200 / 5220 | LOSS : 79.76835632324219
4300 / 5220 | LOSS : 68.9198989868164
4400 / 5220 | LOSS : 74.38095092773438
4500 / 5220 | LOSS : 74.98313903808594
4600 / 5220 | LOSS : 62.07681655883789
4700 / 5220 | LOSS : 75.19447326660156
4800 / 5220 | LOSS : 72.64319610595703
4900 / 5220 | LOSS : 66.10875701904297
5000 / 5220 | LOSS : 59.151126861572266
5100 / 5220 | LOSS : 61.99944305419922
5200 / 5220 | LOSS : 10.934329986572266
Testing...
0 / 2238 | LOSS : 1455.76318359375
100 / 2238 | LOSS : 1460.6651611328125
200 / 2238 | LOSS : 1482.94970703125
300 / 2238 | LOSS : 1472.23779296875
400 / 2238 | LOSS : 1456.9700927734375
500 / 2238 | LOSS : 1476.9935302734375
600 / 2238 | LOSS : 1459.73876953125
700 / 2238 | LOSS : 1485.234619140625
800 / 2238 | LOSS : 1472.0333251953125
900 / 2238 | LOSS : 1466.98095703125
1000 / 2238 | LOSS : 1485.08740234375
1100 / 2238 | LOSS : 1474.5849609375
1200 / 2238 | LOSS : 1493.7410888671875
1300 / 2238 | LOSS : 1483.22998046875
1400 / 2238 | LOSS : 1490.7706298828125
1500 / 2238 | LOSS : 1472.3162841796875
1600 / 2238 | LOSS : 1467.475830078125
1700 / 2238 | LOSS : 1493.605224609375
1800 / 2238 | LOSS : 1480.1640625
1900 / 2238 | LOSS : 1455.4814453125
2000 / 2238 | LOSS : 1435.497802734375
2100 / 2238 | LOSS : 1467.1376953125
2200 / 2238 | LOSS : 575.1513061523438
FINAL TEST ACCURACY: 0.21629610657691956
DEBUG: testing on train inputs
0 / 5220 | LOSS : 1450.9984130859375
100 / 5220 | LOSS : 1479.029052734375
200 / 5220 | LOSS : 1464.644775390625
300 / 5220 | LOSS : 1479.444580078125
400 / 5220 | LOSS : 1445.142333984375
500 / 5220 | LOSS : 1476.18994140625
600 / 5220 | LOSS : 1483.952392578125
700 / 5220 | LOSS : 1465.885009765625
800 / 5220 | LOSS : 1500.106201171875
900 / 5220 | LOSS : 1490.535400390625
1000 / 5220 | LOSS : 1465.91552734375
1100 / 5220 | LOSS : 1498.721923828125
1200 / 5220 | LOSS : 1488.8515625
1300 / 5220 | LOSS : 1472.1676025390625
1400 / 5220 | LOSS : 1456.324951171875
1500 / 5220 | LOSS : 1486.718994140625
1600 / 5220 | LOSS : 1482.891845703125
1700 / 5220 | LOSS : 1455.287353515625
1800 / 5220 | LOSS : 1456.58154296875
1900 / 5220 | LOSS : 1474.9915771484375
2000 / 5220 | LOSS : 1487.4305419921875
2100 / 5220 | LOSS : 1471.3798828125
2200 / 5220 | LOSS : 1450.637451171875
2300 / 5220 | LOSS : 1482.53369140625
2400 / 5220 | LOSS : 1475.7811279296875
2500 / 5220 | LOSS : 1469.011962890625
2600 / 5220 | LOSS : 1468.251708984375
2700 / 5220 | LOSS : 1485.254638671875
2800 / 5220 | LOSS : 1485.4127197265625
2900 / 5220 | LOSS : 1480.513916015625
3000 / 5220 | LOSS : 1458.8116455078125
3100 / 5220 | LOSS : 1490.3841552734375
3200 / 5220 | LOSS : 1484.56689453125
3300 / 5220 | LOSS : 1483.4412841796875
3400 / 5220 | LOSS : 1478.859130859375
3500 / 5220 | LOSS : 1478.10498046875
3600 / 5220 | LOSS : 1453.8555908203125
3700 / 5220 | LOSS : 1458.6925048828125
3800 / 5220 | LOSS : 1470.5107421875
3900 / 5220 | LOSS : 1468.064453125
4000 / 5220 | LOSS : 1458.83642578125
4100 / 5220 | LOSS : 1464.890625
4200 / 5220 | LOSS : 1475.137451171875
4300 / 5220 | LOSS : 1489.5244140625
4400 / 5220 | LOSS : 1484.49609375
4500 / 5220 | LOSS : 1465.279052734375
4600 / 5220 | LOSS : 1493.169921875
4700 / 5220 | LOSS : 1450.1092529296875
4800 / 5220 | LOSS : 1454.191650390625
4900 / 5220 | LOSS : 1497.99951171875
5000 / 5220 | LOSS : 1489.2120361328125
5100 / 5220 | LOSS : 1468.360595703125
5200 / 5220 | LOSS : 303.3461608886719
DEBUG TEST ACCURACY: 0.2164914608001709
